Input,BioGro #,Licensee,Type,Category,Sub Type
Organic Iodine Liquid,4993.0,Livestock Supplies NZ Ltd,Livestock Feed / Supplement,Supplement,Mineral
Organic JMS Stylet Oil,2933.0,PGG Wrightson (Fruitfed Supplies),Crop Management,Fungicide,
Organic Layer Hi Spec Pellets MBM,6349.0,Denver Stock Feeds,Livestock Feed / Supplement,Feed,
Organic Lick,4993.0,Livestock Supplies NZ Ltd,Livestock Feed / Supplement,Supplement,
Organic Mag Super,2925.0,Agrinova NZ Ltd TA Gro-Chem,Soil & Plant Nutrition,Mineral Fertiliser,
Organic Mag Super,4432.0,Horticentre Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Organic Mag Super,2933.0,PGG Wrightson (Fruitfed Supplies),Soil & Plant Nutrition,Mineral Fertiliser,
Organic Mag Super (SKU# 1010705),4472.0,Farmlands Co-Operative Society Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Organic Magic,5946.0,Orgenz 2018 Ltd,Soil & Plant Nutrition,Fish Fertiliser,
Organic Maize,6349.0,Denver Stock Feeds,Livestock Feed / Supplement,Feed,
Organic Mycorrcin,2933.0,PGG Wrightson (Fruitfed Supplies),Soil & Plant Nutrition,Microorganisms,Biostimulant
Organic Mycorrcin,5082.0,Fertco 2016 Ltd,Soil & Plant Nutrition,Microorganisms,
Organic Mycorrcin,4436.0,Biostart Ltd,Soil & Plant Nutrition,Microorganisms,Biostimulant
Organic Mycorrcin,4432.0,Horticentre Ltd,Soil & Plant Nutrition,Microorganisms,Biostimulant
"Organic Mycorrcin (SKU# 1041793, 1041799, 1041800)",4472.0,Farmlands Co-Operative Society Ltd,Soil & Plant Nutrition,Microorganisms,
Organic Natural Magnesium Chloride,4993.0,Livestock Supplies NZ Ltd,Livestock Feed / Supplement,Supplement,
Organic Neem Oil,5010.0,Oakdale Organics,Crop Management,Insecticide,
Organic Potting Mix,2863.0,Living Earth Ltd,Soil & Plant Nutrition,Soil/Potting Mix,
Organic Pre Tup / Pre Lamb Mineral Drench,4993.0,Livestock Supplies NZ Ltd,Livestock Treatment,,
Organic Prune 'n' Paste,4432.0,Horticentre Ltd,Crop Management,Pesticide,
Organic Root Gro,4547.0,Grosafe Chemicals Ltd,Soil & Plant Nutrition,Microorganisms,Inoculant
Organic Selenium Chip Red,5029.0,Flynn Holdings Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Organic Selenium Chip Red,5082.0,Fertco 2016 Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Organic Selenium Chip Red,5030.0,PGG Wrightson Seeds,Livestock Feed / Supplement,Supplement,
Organic Selenium Chip Red,5136.0,Remediation NZ Ltd TA Revital Fertilisers,Soil & Plant Nutrition,Mineral Fertiliser,
Organic Selenium Chip Red,4974.0,Kiwi Fertiliser Co Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Organic Selenium Chip Red,4974.0,Kiwi Fertiliser Co Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Organic Selenium Chip Red,4969.0,Fernhill Limeworks Ltd,Livestock Feed / Supplement,Supplement,
Organic Selenium Chip Red,4974.0,Kiwi Fertiliser Co Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Organic Selenium Chip Red,4841.0,Osflo Fertiliser Ltd,Soil & Plant Nutrition,,
Organic Selenium Chip Red,5115.0,Mainland Minerals Southern Ltd,Livestock Feed / Supplement,Supplement,
Organic Selenium Chip Red,5622.0,Total Fert Ltd,Livestock Feed / Supplement,Supplement,Mineral
Organic Selenium Chip Red,5006.0,Rorisons RMD Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Organic Selenium Chip Red,5006.0,Rorisons RMD Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Organic Selenium Chip Red,4862.0,Fertilizer NZ Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Organic Selenium Chip Red,5006.0,Rorisons RMD Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Organic Selenium Chip Red,4862.0,Fertilizer NZ Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Organic Selenium Liquid,4993.0,Livestock Supplies NZ Ltd,Livestock Feed / Supplement,Supplement,
Organic Silage King,2933.0,PGG Wrightson (Fruitfed Supplies),Livestock Feed / Supplement,Silage,
Organic Silage King,4436.0,Biostart Ltd,Livestock Feed / Supplement,Silage,
Organic Silage King (SKU# 1007086),4472.0,Farmlands Co-Operative Society Ltd,Livestock Feed / Supplement,Silage,
Organic Soluble Seaweed,5139.0,Agrifert (NZ) Limited,Soil & Plant Nutrition,Seaweed Fertiliser,
Organic Soya Bean Meal,6349.0,Denver Stock Feeds,Livestock Feed / Supplement,Feed,
Organic Substrate Mix,3589.0,Daltons Ltd,Soil & Plant Nutrition,Soil/Potting Mix,
Organic Sugar Syrup,5563.0,Natural Sugars (New Zealand) Ltd,Apiary Management,Bee Nutrition,
Organic Super Spraying Oil,4850.0,Kiwicare Corporation Ltd,Crop Management,Fungicide,
Organic Super Sulphur,4850.0,Kiwicare Corporation Ltd,Crop Management,Fungicide,
Organic Veggie Mix,2863.0,Living Earth Ltd,Soil & Plant Nutrition,Compost,
Organic Weedfree Rapid Ready to Use Trigger Spray,4850.0,Kiwicare Corporation Ltd,Crop Management,Herbicide,
Organic Wheat,6349.0,Denver Stock Feeds,Livestock Feed / Supplement,Feed,
OrganoN Liquid,4833.0,Dynamic Compost Tea Ltd,Soil & Plant Nutrition,Compost,
Oroboost,5938.0,OroAgri,Crop Management,Adjuvant,
Oroboost,4432.0,Horticentre Ltd,Crop Management,Adjuvant,
"Oroboost (SKU# 1021257, 1021268, 1023125)",4472.0,Farmlands Co-Operative Society Ltd,Crop Management,Adjuvant,
Osflo Organic,4841.0,Osflo Fertiliser Ltd,Soil & Plant Nutrition,Compost,
Otter / Honu,5774.0,Liquid Fertiliser Pty,Soil & Plant Nutrition,Microorganisms,Biostimulant
Oxi-Cup 50 WG,2925.0,Agrinova NZ Ltd TA Gro-Chem,Crop Management,Fungicide,
Oxi-Cup WG,2933.0,PGG Wrightson (Fruitfed Supplies),Crop Management,Fungicide,
Oxytocin 30c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Packing and re-packing of BioGro certified Input products,5850.0,Chemical Packers Ltd,Other,,
Pak Choi (Code - 4015.4),5491.0,Kings Seeds NZ Ltd,Seeds and Planting Stock,,
Pak Choi Red Totem (Code - 3450),5491.0,Kings Seeds NZ Ltd,Seeds and Planting Stock,,
Pakohe Agricultural Lime,6128.0,Pakohe Lime,Soil & Plant Nutrition,Mineral Fertiliser,
Palm Bunch Ash K30,171.0,Pacific BioFert Ltd,Soil & Plant Nutrition,Plant Derived Fertiliser,
Papa,5029.0,Flynn Holdings Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Paramagnetic Rock Dust,4974.0,Kiwi Fertiliser Co Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Paramagnetic Rock Dust,4974.0,Kiwi Fertiliser Co Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Paramagnetic Rock Dust,4974.0,Kiwi Fertiliser Co Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Parker Ag Lime Bulk - 25kg,5480.0,Parker Lime Co Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Parsley Italian Plain Leaf (Code - 3460),5491.0,Kings Seeds NZ Ltd,Seeds and Planting Stock,,
Passion Vine Hopper 30c,5005.0,Homeopathic Farm Services Ltd,Crop Management,Pest control,
Pasteurella 30c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Pasture Pro,5115.0,Mainland Minerals Southern Ltd,Soil & Plant Nutrition,Microorganisms,
PatentKali,4432.0,Horticentre Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Path-Away,5479.0,Global Infection Control Consultants LLC (GICC),Facility Management,Cleaning,Other
PathoCide,6286.0,Spraying Systems NZ Limited,Facility Management,Cleaning,
PathoClean,6286.0,Spraying Systems NZ Limited,Facility Management,Cleaning,
PBS 30c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
PC nosode 30c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
PE nosode 30c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Pea (Code - 4045),5491.0,Kings Seeds NZ Ltd,Seeds and Planting Stock,,
Peat,5113.0,Soil Health Ltd,Soil & Plant Nutrition,Soil/Potting Mix,
Pectinex Ultra Clear,5605.0,Winequip Products Ltd,Enzyme,,
Pediculi 30c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Penergetic b Calcium Bentonite,6298.0,X-Line Agencies NZ Limited,Soil & Plant Nutrition,Mineral Fertiliser,
Penergetic b Calcium Bentonite UF,6298.0,X-Line Agencies NZ Limited,Soil & Plant Nutrition,Mineral Fertiliser,
Penergetic b Molasses,6298.0,X-Line Agencies NZ Limited,Soil & Plant Nutrition,Molasses,
Penergetic b Quartz Sirkon,6298.0,X-Line Agencies NZ Limited,Soil & Plant Nutrition,Mineral Fertiliser,
Penergetic g Calcium Bentonite,6298.0,X-Line Agencies NZ Limited,Soil & Plant Nutrition,Mineral Fertiliser,
Penergetic g Molasses,6298.0,X-Line Agencies NZ Limited,Soil & Plant Nutrition,Molasses,
Penergetic k Calcium Bentonite,6298.0,X-Line Agencies NZ Limited,Soil & Plant Nutrition,Mineral Fertiliser,
Penergetic k Molasses,6298.0,X-Line Agencies NZ Limited,Soil & Plant Nutrition,Molasses,
Penergetic k Quartz Sirkon,6298.0,X-Line Agencies NZ Limited,Soil & Plant Nutrition,Mineral Fertiliser,
Penergetic p Calcium Bentonite,6298.0,X-Line Agencies NZ Limited,Soil & Plant Nutrition,Mineral Fertiliser,
Penergetic p Calcium Bentonite UF,6298.0,X-Line Agencies NZ Limited,Soil & Plant Nutrition,Mineral Fertiliser,
Penergetic p Molasses,6298.0,X-Line Agencies NZ Limited,Soil & Plant Nutrition,Molasses,
Penergetic p Quartz Sirkon,6298.0,X-Line Agencies NZ Limited,Soil & Plant Nutrition,Mineral Fertiliser,
Penergetic t Calcium Carbonate,6298.0,X-Line Agencies NZ Limited,Livestock Feed / Supplement,Supplement,Mineral
Penergetic t Sodium Bicarbonate,6298.0,X-Line Agencies NZ Limited,Livestock Feed / Supplement,Supplement,Mineral
Penergetic w Calcium Carbonate,6298.0,X-Line Agencies NZ Limited,Soil & Plant Nutrition,Mineral Fertiliser,
Penergetic w Quartz Meal,6298.0,X-Line Agencies NZ Limited,Soil & Plant Nutrition,Mineral Fertiliser,
Pepper Quadratto Asti Red (Code - 3484),5491.0,Kings Seeds NZ Ltd,Seeds and Planting Stock,,
Pepper Quadratto Asti Yellow (Code - 3486),5491.0,Kings Seeds NZ Ltd,Seeds and Planting Stock,,
Peppermint Oil,6213.0,Agvance Nutrition Ltd,Livestock Feed / Supplement,,
Peppermint Oil,6213.0,Agvance Nutrition Ltd,Livestock Feed / Supplement,,
Peraclean 5,5170.0,Evonik Peroxide Ltd,Facility Management,Cleaning,Other
Perform,4885.0,IXOM Operations Pty Ltd,Facility Management,Cleaning,
Permaform,2846.0,Blue Pacific Minerals Ltd,Livestock Feed / Supplement,Supplement,Mineral
Permagreen,2846.0,Blue Pacific Minerals Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Permagro Altilium,2846.0,Blue Pacific Minerals Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Permagro Arena,2846.0,Blue Pacific Minerals Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Permagro Solo,2846.0,Blue Pacific Minerals Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Perma-Guard Fossil Shell Flour DENZ Diatomaceous Earth,5339.0,www.denz.co.nz Ltd,Livestock Feed / Supplement,Supplement,Mineral
Perma-Guard Fossil Shell Flour DENZ Diatomaceous Earth,5339.0,www.denz.co.nz Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Perma-Guard Fossil Shell Flour DENZ Diatomaceous Earth,5339.0,www.denz.co.nz Ltd,Crop Management,Insecticide,
"Perma-Guard Fossil Shell Flour DENZ Diatomaceous Earth (SKU# 1013144, 1013142, 1013141, 1013143, 1013145)",4472.0,Farmlands Co-Operative Society Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Permaroof,2846.0,Blue Pacific Minerals Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
PeroxyMax,4885.0,IXOM Operations Pty Ltd,Facility Management,Cleaning,
Petroleum 30c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Phlogiston,10010.0,Dirk MegaCorp,Facility Management,,
Phosphoric acid,4885.0,IXOM Operations Pty Ltd,Facility Management,Cleaning,
Phosphoric acid 30c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
"Phosphorus 30c, 200c",5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Phosta 10,5294.0,Forthright Ltd,Soil & Plant Nutrition,Animal Derived Fertiliser,
Phosta Guano Granules and Powder,5082.0,Fertco 2016 Ltd,Soil & Plant Nutrition,Animal Derived Fertiliser,
Phosta Guano Granules and Powder,5294.0,Forthright Ltd,Soil & Plant Nutrition,Animal Derived Fertiliser,
Phosta K,5622.0,Total Fert Ltd,Soil & Plant Nutrition,Plant Derived Fertiliser,
Phosta K,5082.0,Fertco 2016 Ltd,Soil & Plant Nutrition,Ash,
Phosta K,5294.0,Forthright Ltd,Soil & Plant Nutrition,Ash,
Phosta K,5480.0,Parker Lime Co Ltd,Soil & Plant Nutrition,Ash,
Phosta N Granules,5082.0,Fertco 2016 Ltd,Soil & Plant Nutrition,Microorganisms,Other
Phosta N Granules,5294.0,Forthright Ltd,Soil & Plant Nutrition,Microorganisms,Other
Phosta N Liquid,5082.0,Fertco 2016 Ltd,Soil & Plant Nutrition,Microorganisms,Other
Phosta N Liquid,5294.0,Forthright Ltd,Soil & Plant Nutrition,Microorganisms,Other
PhotoMax,2753.0,BdMax Ltd,Crop Management,Homeopathic Preparation,
Phylia EPL,5629.0,Esvin Wine Resources Ltd,Acid Regulation,,
Phyter,4432.0,Horticentre Ltd,Soil & Plant Nutrition,Microorganisms,Biostimulant
Phyter,171.0,Pacific BioFert Ltd,Soil & Plant Nutrition,Microorganisms,Biostimulant
"Phytolacca 30c, 200c",5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Pika / Fawn,5774.0,Liquid Fertiliser Pty,Soil & Plant Nutrition,Microorganisms,Biostimulant
Pine Biochar,5504.0,Biogrow (2021) Ltd,Soil & Plant Nutrition,Ash,
Plant Health Organic Copper and Sulphur Fungicide Spray,4850.0,Kiwicare Corporation Ltd,Crop Management,Pesticide,
Plant Tonic 200c,5005.0,Homeopathic Farm Services Ltd,Crop Management,Pest control,
Plantis AF (Pea Protein),5682.0,Enartis Pacific Pty Ltd,Clarification / Fining,Plant,Pea or wheat protein
Plantmate Drench,3515.0,Agrimm Technologies Ltd,Soil & Plant Nutrition,Microorganisms,Other
Plantmate Foliar,3515.0,Agrimm Technologies Ltd,Soil & Plant Nutrition,Microorganisms,Biostimulant
Plantmate Granular,3515.0,Agrimm Technologies Ltd,Soil & Plant Nutrition,Microorganisms,Biostimulant
Plasma Organic,5669.0,RJ International Ltd TA Biomax NZ,Soil & Plant Nutrition,Fish Fertiliser,
Platform Field,3515.0,Agrimm Technologies Ltd,Crop Management,Pesticide,
Platform Seed,3515.0,Agrimm Technologies Ltd,Crop Management,Pesticide,
Plus Compact (Bentonite),4472.0,Farmlands Co-Operative Society Ltd,Clarification / Fining,,
PluxBenton N (Bentonite),4472.0,Farmlands Co-Operative Society Ltd,Clarification / Fining,,
Pluxcompact (Bentonite),5682.0,Enartis Pacific Pty Ltd,Clarification / Fining,Mineral,Bentonite
PN4_1 Step Kit,5596.0,Lallemand Australia Pty Ltd,Inoculant,,
PN4_MBR,5596.0,Lallemand Australia Pty Ltd,Inoculant,,
Podophyllum 30c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Poke Oil,5332.0,True Health Ltd,Livestock Treatment,Herbal remedies,
Polymust Nature,5587.0,Laffort New Zealand Ltd,Clarification / Fining,,
Polymust Org,5587.0,Laffort New Zealand Ltd,Clarification / Fining,,
Potash 30,4974.0,Kiwi Fertiliser Co Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Potash 30,4974.0,Kiwi Fertiliser Co Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Potash 30,4974.0,Kiwi Fertiliser Co Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Potash 30K,5622.0,Total Fert Ltd,Soil & Plant Nutrition,Plant Derived Fertiliser,
Potassium Bicarbonate,4472.0,Farmlands Co-Operative Society Ltd,Acid Regulation,,
Potassium Bicarbonate,5606.0,Interchem Agencies Ltd,Acid Regulation,,
Potassium Bicarbonate,2933.0,PGG Wrightson (Fruitfed Supplies),Acid Regulation,De-acidification,Potassium bicarbonate
Potassium MetabiSulphite (PMS),4472.0,Farmlands Co-Operative Society Ltd,Preservative / Antioxidant,,
Potassium Sulphate (Natural),5006.0,Rorisons RMD Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Potassium Sulphate (Natural),5006.0,Rorisons RMD Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Potassium sulphate (natural),5006.0,Rorisons RMD Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Potting Mix,5068.0,Weathersfield Certified Organics,Soil & Plant Nutrition,Soil/Potting Mix,
Potting Soil,6153.0,NZ Bark Ltd,Soil & Plant Nutrition,Soil/Potting Mix,
Powerlees Life,5587.0,Laffort New Zealand Ltd,Enzyme,,
Powerlees Rouge,5587.0,Laffort New Zealand Ltd,Enzyme,,
Premium Blossom,5593.0,Pacific Rim Oenology Services Ltd,Yeast,,
Premium Chardonnay,5593.0,Pacific Rim Oenology Services Ltd,Yeast,,
Premium Compost,5082.0,Fertco 2016 Ltd,Soil & Plant Nutrition,Compost,
Premium Compost,5745.0,Plateau Compost Ltd,Soil & Plant Nutrition,Compost,
Premium Compost,2863.0,Living Earth Ltd,Soil & Plant Nutrition,Compost,
Premium Fructo,5593.0,Pacific Rim Oenology Services Ltd,Yeast,,
Premium Limousin SG,5593.0,Pacific Rim Oenology Services Ltd,Clarification / Fining,,
Premium Rouge,5593.0,Pacific Rim Oenology Services Ltd,Yeast,,
Premium Tiol,5593.0,Pacific Rim Oenology Services Ltd,Yeast,,
Premium Tostato,5593.0,Pacific Rim Oenology Services Ltd,Clarification / Fining,,
Premium UVA SG,5593.0,Pacific Rim Oenology Services Ltd,Clarification / Fining,,
Premium Vinnaciolo,5593.0,Pacific Rim Oenology Services Ltd,Clarification / Fining,,
Premium Whiskey Lattone SG,5593.0,Pacific Rim Oenology Services Ltd,Clarification / Fining,,
Primazest,5943.0,Zest Biotech Ltd,Crop Management,Elicitor,
Pro Uno,5682.0,Enartis Pacific Pty Ltd,Yeast Nutrient,Yeast derivate,
Pro-Gro - Certified Organic Compost,5667.0,TW Transport Ltd TA Gardenmakers,Soil & Plant Nutrition,Compost,
Protamin,5480.0,Parker Lime Co Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
PROTAMIN 7.14,5568.0,Biolchim New Zealand Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
PROTAMIN 7.5.14,5568.0,Biolchim New Zealand Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
PROTAMIN GR,5568.0,Biolchim New Zealand Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Protamin N 13,5082.0,Fertco 2016 Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Protamin N 13,4432.0,Horticentre Ltd,Soil & Plant Nutrition,,
"Protamin N 13 (SKU# 1039450, 1038370)",4472.0,Farmlands Co-Operative Society Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Protamin N 7 P 2 K 11.5,5622.0,Total Fert Ltd,Soil & Plant Nutrition,Other,
Protamin N 7 P 2 K 11.5,5082.0,Fertco 2016 Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Protamin N 7 P 6,5082.0,Fertco 2016 Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Protamin N 7 P 6 (SKU# 1039574),4472.0,Farmlands Co-Operative Society Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Protamin N13,5622.0,Total Fert Ltd,Soil & Plant Nutrition,Other,
Protamin N7 P2 K11.5,4432.0,Horticentre Ltd,Soil & Plant Nutrition,,
Protamin N7 P6,4432.0,Horticentre Ltd,Soil & Plant Nutrition,,
"Protamin N 7 P 2 K 11.5 (SKU# 1038368, 1045404)",4472.0,Farmlands Co-Operative Society Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
"Protector (SKU# 1008381, 1021770, 1008369)",4472.0,Farmlands Co-Operative Society Ltd,Crop Management,Adjuvant,
Protector hml,4432.0,Horticentre Ltd,Crop Management,Adjuvant,
Protector HML,2925.0,Agrinova NZ Ltd TA Gro-Chem,Crop Management,Adjuvant,
Protector hml,2933.0,PGG Wrightson (Fruitfed Supplies),Crop Management,Adjuvant,
Protector HML,5079.0,Henry Manufacturing Ltd,Crop Management,Adjuvant,
Provgreen Flot 5Kg,5629.0,Esvin Wine Resources Ltd,Clarification / Fining,,
Provgreen Pure Must 1Kg,5629.0,Esvin Wine Resources Ltd,Clarification / Fining,,
Provgreen Pure Wine 1Kg,5629.0,Esvin Wine Resources Ltd,Clarification / Fining,,
Proxitane,2933.0,PGG Wrightson (Fruitfed Supplies),Facility Management,Cleaning,
Proxitane AG Sanitiser (SKU# 1028756),4472.0,Farmlands Co-Operative Society Ltd,Facility Management,Cleaning,
Pseudomonas 30c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Psorinum 200c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Psorinum C 1000,433.0,Sustain-Ability TA EcoGrape Ltd,Crop Management,Homeopathic Preparation,
Psorinum C 200,433.0,Sustain-Ability TA EcoGrape Ltd,Crop Management,Homeopathic Preparation,
Pulex 30c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
"Pulsatilla 30c, 200c",5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Pulsatilla C 200,433.0,Sustain-Ability TA EcoGrape Ltd,Crop Management,Homeopathic Preparation,
Pumpkin New England Pie (Code - 3500),5491.0,Kings Seeds NZ Ltd,Seeds and Planting Stock,,
Pure BioPhos,297.0,Ballance Agri-Nutrients Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Pure BioPhos,297.0,Ballance Agri-Nutrients Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Pure BioPhos,297.0,Ballance Agri-Nutrients Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Pure BioPhos,297.0,Ballance Agri-Nutrients Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Pure BioPhos,297.0,Ballance Agri-Nutrients Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Pure BioPhos,297.0,Ballance Agri-Nutrients Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Pure BioPhos,297.0,Ballance Agri-Nutrients Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Pure Boron 10%,297.0,Ballance Agri-Nutrients Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Pure Boron 10%,297.0,Ballance Agri-Nutrients Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Pure Boron 10%,297.0,Ballance Agri-Nutrients Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Pure Boron 10%,297.0,Ballance Agri-Nutrients Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Pure Boron 10%,297.0,Ballance Agri-Nutrients Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Pure Boron 10%,297.0,Ballance Agri-Nutrients Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Pure Boron 10%,297.0,Ballance Agri-Nutrients Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Pure Cobalt 10%,297.0,Ballance Agri-Nutrients Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Pure Cobalt 10%,297.0,Ballance Agri-Nutrients Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
